SKU_number,SoldCount,LowNetPrice,Revenue,Cumulative_Revenue,Cumulative_Percentage,ABC_Category
881691,4.0,198.55,794.2,61537.14000000001,6.045884144806344,A
544749,5.0,154.49,772.45,62309.590000000004,6.1217756016997855,A
527799,5.0,153.99,769.95,63079.54,6.1974214392751685,A
544731,8.0,96.21,769.68,63849.22,6.273040749964203,A
544767,14.0,53.99,755.86,64605.08,6.347302277063013,A
563617,13.0,57.98,753.74,65358.82,6.4213555189801115,A
532698,4.0,185.64,742.56,66101.38,6.494310351306856,A
637537,4.0,183.98,735.92,66837.3,6.566612818724839,A
416512,4.0,182.81,731.24,67568.54000000001,6.63845548677942,A
57561,9.0,78.99,710.91,68279.45000000001,6.708300778539554,A
1535826,10.0,70.99,709.9,68989.35,6.778046840095193,A
546802,4.0,176.99,707.96,69697.31000000001,6.8476023010600215,A
297999,2.0,353.27,706.54,70403.85,6.917018250252191,A
617623,17.0,41.56,706.52,71110.37000000001,6.9864322344898175,A
619084,9.0,78.26,704.34,71814.71,7.055632038682097,A
616592,11.0,63.89,702.79,72517.5,7.1246795588971805,A
539457,6.0,116.25,697.5,73215.0,7.193207348635254,A
540785,7.0,98.99,692.93,73907.93,7.261286146259918,A
182962,26.0,26.65,692.9,74600.82999999999,7.329361996452766,A
862383,11.0,62.99,692.89,75293.71999999999,7.397436864168341,A
629092,4.0,171.79,687.16,75980.87999999999,7.464948772406929,A
544677,8.0,85.56,684.48,76665.35999999999,7.532197376736558,A
876780,8.0,85.19,681.52,77346.87999999999,7.599155167793609,A
1827038,10.0,67.78,677.8,78024.68,7.665747477305389,A
127480,1.0,675.0,675.0,78699.68,7.732064693180944,A
201779,1.0,675.0,675.0,79374.68,7.798381909056499,A
2551366,1.0,675.0,675.0,80049.68,7.864699124932057,A
862042,5.0,133.99,669.95,80719.62999999999,7.930520189785134,A
251977,18.0,36.93,664.74,81384.37,7.995829383979382,A
377797,5.0,131.94,659.7,82044.06999999999,8.060643409628424,A
252671,11.0,59.88,658.6800000000001,82702.74999999999,8.1253572225957,A
610410,21.0,31.34,658.14,83360.88999999998,8.190017981790275,A
862999,1.0,653.99,653.99,84014.87999999999,8.254271012916874,A
538661,3.0,217.48,652.4399999999999,84667.31999999999,8.31837176006628,A
1475488,12.0,54.03,648.36,85315.68,8.38207165648861,A
538844,12.0,53.99,647.88,85963.56,8.445724394001878,A
610438,12.0,53.97,647.64,86611.2,8.509353552060611,A
51185,5.0,127.74,638.6999999999999,87249.9,8.57210437543797,A
380512,13.0,48.98,636.74,87886.64,8.634662633269972,A
654009,3.0,211.73,635.1899999999999,88521.83,8.697068607124779,A
50044,16.0,38.99,623.84,89145.67,8.758359469275604,A
416485,16.0,38.98,623.68,89769.34999999999,8.819634611790072,A
877181,5.0,123.98,619.9,90389.24999999999,8.880538377895636,A
500149,5.0,123.95,619.75,91008.99999999999,8.941427406842118,A
868524,4.0,153.99,615.96,91624.95999999999,9.001944076902427,A
537677,8.0,76.98,615.84,92240.79999999999,9.062448957235466,A
544322,6.0,102.12,612.72,92853.51999999999,9.12264730465957,A
141848,51.0,11.95,609.4499999999999,93462.96999999999,9.182524382015655,A
540748,4.0,151.74,606.96,94069.93,9.242156822530955,A
525524,5.0,121.39,606.95,94676.87999999999,9.301788280568982,A
530797,6.0,100.81,604.86,95281.73999999999,9.361214400857113,A
111669,1.0,602.99,602.99,95884.73,9.420456797895337,A
53955,1.0,602.99,602.99,96487.72,9.479699194933563,A
116351,1.0,602.99,602.99,97090.71,9.538941591971787,A
861204,1.0,602.99,602.99,97693.70000000001,9.598183989010012,A
533406,1.0,602.99,602.99,98296.69000000002,9.657426386048236,A
53710,1.0,602.99,602.99,98899.68000000002,9.71666878308646,A
539513,1.0,602.99,602.99,99502.67000000003,9.775911180124686,A
133003,1.0,602.99,602.99,100105.66000000003,9.83515357716291,A
880432,12.0,49.83,597.96,100703.62000000004,9.893901788133203,A
1719620,10.0,59.71,597.1,101300.72000000004,9.952565506058084,A
1823280,11.0,53.74,591.14,101891.86000000004,10.010643667528713,A
169492,1.0,587.64,587.64,102479.50000000004,10.068377961954065,A
587710,5.0,117.38,586.9,103066.40000000004,10.12603955306127,A
56285,6.0,97.79,586.74,103653.14000000004,10.183685424532118,A
669046,2.0,293.18,586.36,104239.50000000004,10.241293961866624,A
880606,7.0,83.51,584.57,104824.07000000005,10.2987266357694,A
169525,14.0,41.74,584.36,105408.43000000005,10.356138677649458,A
1453226,3.0,192.73,578.1899999999999,105986.62000000005,10.41294453105255,A
58044,10.0,57.75,577.5,106564.12000000005,10.46968259352386,A
747763,9.0,63.98,575.8199999999999,107139.94000000006,10.526255599813435,A
879025,16.0,35.89,574.24,107714.18000000007,10.582673374693996,A
536746,2.0,285.99,571.98,108286.16000000006,10.638869109711035,A
747766,13.0,43.99,571.87,108858.03000000006,10.695054037478076,A
540449,27.0,20.98,566.46,109424.49000000006,10.750707445040844,A
587680,6.0,93.99,563.9399999999999,109988.43000000007,10.806113268331007,A
2664216,6.0,93.98,563.88,110552.31000000007,10.861513196757539,A
696234,12.0,46.98,563.76,111116.07000000007,10.916901335456803,A
104890,4.0,140.75,563.0,111679.07000000007,10.972214805883377,A
649454,10.0,55.95,559.5,112238.57000000007,11.02718440926467,A
389265,7.0,78.99,552.93,112791.50000000006,11.081508525078108,A
492445,12.0,45.95,551.4000000000001,113342.90000000005,11.135682321868895,A
54275,13.0,41.99,545.87,113888.77000000005,11.189312808728138,A
143255,3.0,181.86,545.58,114434.35000000005,11.242914803746487,A
1656831,3.0,181.59,544.77,114979.12000000005,11.296437218105785,A
51221,4.0,135.25,541.0,115520.12000000005,11.349589238533452,A
57978,3.0,179.87,539.61,116059.73000000005,11.40260469462028,A
621003,8.0,67.35,538.8,116598.53000000006,11.455540570048058,A
635533,7.0,76.97,538.79,117137.32000000005,11.508475462998561,A
866958,4.0,133.92,535.68,117673.00000000004,11.5611048055174,A
416609,35.0,15.29,535.15,118208.15000000004,11.613682076740814,A
54235,26.0,20.54,534.04,118742.19000000003,11.666150292987009,A
705682,7.0,76.0,532.0,119274.19000000003,11.718418083869668,A
809190,12.0,43.99,527.88,119802.07000000004,11.77028109411617,A
2257604,6.0,87.82,526.92,120328.99000000003,11.822049786544536,A
60059,9.0,58.47,526.23,120855.22000000003,11.87375068804112,A
2551285,1.0,525.39,525.39,121380.61000000003,11.925369061446835,A
110597,6.0,87.47,524.8199999999999,121905.43000000004,11.976931433648035,A
243981,8.0,65.53,524.24,122429.67000000004,12.028436822167443,A
607140,6.0,86.93,521.58,122951.25000000004,12.07968087173244,A
253869,5.0,103.99,519.9499999999999,123471.20000000004,12.130764777502062,A
2869909,4.0,128.96,515.84,123987.04000000004,12.181444885112796,A
537611,10.0,51.43,514.3,124501.34000000004,12.23197369122361,A
222824,7.0,73.27,512.89,125014.23000000004,12.282363968039038,A
527026,8.0,64.06,512.48,125526.71000000004,12.332713963286302,A
880517,14.0,36.57,511.98,126038.69000000003,12.383014834669957,A
533797,5.0,102.28,511.4,126550.09000000003,12.433258722371821,A
540725,7.0,72.5,507.5,127057.59000000003,12.483119443937516,A
587701,10.0,50.53,505.3,127562.89000000003,12.532764020503324,A
146673,1.0,503.99,503.99,128066.88000000003,12.582279892546467,A
2256951,1.0,503.99,503.99,128570.87000000004,12.63179576458961,A
200558,6.0,83.99,503.93999999999994,129074.81000000004,12.681306724246392,A
170187,3.0,167.86,503.58000000000004,129578.39000000004,12.730782314721372,A
244448,7.0,71.73,502.11,130080.50000000004,12.780113481037333,A
877115,8.0,62.7,501.6,130582.10000000005,12.829394541012414,A
286447,16.0,31.32,501.12,131083.22000000006,12.878628442078426,A
1599298,10.0,49.96,499.6,131582.82000000007,12.927713006599062,A
164490,4.0,124.83,499.32,132082.14000000007,12.976770061756074,A
545197,5.0,99.81,499.05,132581.19000000006,13.025800590026734,A
761648,2.0,248.27,496.54,133077.73000000007,13.074584516502066,A
119206,3.0,164.91,494.73,133572.46000000008,13.123190614591124,A
146347,5.0,98.69,493.45,134065.9100000001,13.171670955589335,A
537436,3.0,163.99,491.97,134557.8800000001,13.220005889951258,A
537856,4.0,122.64,490.56,135048.4400000001,13.268202295017794,A
108742,7.0,69.85,488.94999999999993,135537.3900000001,13.316240521243502,A
609936,4.0,122.07,488.28,136025.6700000001,13.364212921491973,A
644575,6.0,81.31,487.86,136513.5300000001,13.412144057695006,A
243941,4.0,121.63,486.52,137000.05000000008,13.459943541943561,A
314410,6.0,80.98,485.88,137485.93000000008,13.507680147646695,A
52047,6.0,80.81,484.86,137970.79000000007,13.555316540668057,A
553322,1.0,483.04,483.04,138453.83000000007,13.602774122825878,A
646128,3.0,160.37,481.11,138934.94000000006,13.650042086870156,A
145774,8.0,59.97,479.76,139414.70000000007,13.697177416482686,A
58006,9.0,52.99,476.91,139891.61000000007,13.744032740072628,A
540618,9.0,52.97,476.73,140368.34000000008,13.79087037907167,A
50256,11.0,43.26,475.85999999999996,140844.20000000007,13.837622542548027,A
544420,4.0,118.58,474.32,141318.52000000008,13.884223404524466,A
543840,6.0,78.99,473.93999999999994,141792.46000000008,13.930786932364555,A
525361,6.0,78.99,473.93999999999994,142266.40000000008,13.977350460204645,A
612199,6.0,78.99,473.93999999999994,142740.34000000008,14.023913988044734,A
111609,1.0,473.05,473.05,143213.39000000007,14.070390075407596,A
133422,11.0,42.95,472.45000000000005,143685.84000000008,14.116807214134125,A
609857,7.0,67.39,471.73,144157.5700000001,14.163153614497054,A
717238,7.0,66.99,468.92999999999995,144626.5000000001,14.209224921223754,A
1455850,5.0,93.29,466.45000000000005,145092.9500000001,14.255052573586946,A
627865,2.0,231.95,463.9,145556.8500000001,14.300629694245714,A
866723,6.0,76.98,461.88,146018.7300000001,14.346008354495495,A
881856,1.0,461.46,461.46,146480.1900000001,14.391345750699841,A
57021,4.0,114.75,459.0,146939.1900000001,14.436441457495219,A
292238,5.0,90.79,453.95000000000005,147393.1400000001,14.481041013268122,A
58338,6.0,75.52,453.12,147846.2600000001,14.525559023427428,A
141824,33.0,13.71,452.43,148298.6900000001,14.57000924265495,A
1453251,2.0,225.85,451.7,148750.3900000001,14.614387741041599,A
544311,3.0,150.46,451.38,149201.7700000001,14.658734800155537,A
2096739,7.0,64.44,451.08,149652.8500000001,14.70305238495131,A
879567,3.0,150.07,450.21,150103.06000000008,14.747284494224393,A
53848,3.0,150.02,450.06000000000006,150553.12000000008,14.791501866338397,A
544773,7.0,63.99,447.93,151001.05000000008,14.835509970793417,A
2337052,3.0,149.15,447.45000000000005,151448.5000000001,14.879470916339368,A
191931,16.0,27.94,447.04,151895.5400000001,14.92339158031716,A
550696,7.0,63.84,446.88,152342.4200000001,14.967296524658593,A
540120,15.0,29.79,446.84999999999997,152789.2700000001,15.011198521568215,A
614709,12.0,37.15,445.79999999999995,153235.0700000001,15.054997358364245,A
540704,10.0,44.41,444.09999999999997,153679.1700000001,15.098629174024,A
544293,3.0,147.99,443.97,154123.1400000001,15.142248217479215,A
643996,6.0,73.99,443.93999999999994,154567.0800000001,15.185864313502615,A
862294,6.0,73.98,443.88,155010.9600000001,15.22947451466238,A
117318,6.0,73.97,443.82,155454.78000000012,15.273078820958514,A
251229,12.0,36.94,443.28,155898.0600000001,15.316630073481944,A
222814,4.0,110.49,441.96,156340.0200000001,15.36005163900544,A
297893,9.0,48.83,439.46999999999997,156779.4900000001,15.403228567688151,A
117489,6.0,72.96,437.76,157217.25000000012,15.446237492757314,A
542064,14.0,31.24,437.35999999999996,157654.6100000001,15.489207118735585,A
528540,12.0,36.44,437.28,158091.8900000001,15.532168884895675,A
2385693,6.0,72.33,433.98,158525.8700000001,15.574806433555935,A
108270,24.0,18.03,432.72,158958.5900000001,15.617320190079893,A
278976,11.0,39.23,431.53,159390.1200000001,15.659717031808452,A
492154,4.0,107.65,430.6,159820.72000000012,15.702022503150696,A
861201,7.0,60.91,426.37,160247.0900000001,15.743912386606784,A
593633,10.0,42.53,425.3,160672.3900000001,15.785697144994746,A
164150,8.0,53.04,424.32,161096.7100000001,15.827385620610027,A
146666,2.0,211.99,423.98,161520.69000000012,15.869040691998054,A
537636,8.0,52.94,423.52,161944.2100000001,15.910650569431558,A
115047,7.0,60.29,422.03,162366.2400000001,15.952114057751501,A
861499,5.0,84.35,421.75,162787.9900000001,15.993550036707818,A
615407,2.0,210.78,421.56,163209.5500000001,16.034967348595966,A
538879,7.0,60.14,420.98,163630.53000000012,16.076327676802325,A
620749,6.0,70.05,420.29999999999995,164050.8300000001,16.11762119655417,A
537801,5.0,83.99,419.95,164470.78000000012,16.158880329601487,A
533429,5.0,83.87,419.35,164890.13000000012,16.200080514012473,A
529952,7.0,59.5,416.5,165306.63000000012,16.241000692400874,A
544369,4.0,103.99,415.96,165722.5900000001,16.28186781701657,A
540099,4.0,103.99,415.96,166138.5500000001,16.322734941632266,A
269956,8.0,51.99,415.92,166554.47000000012,16.363598136338876,A
533540,4.0,103.94,415.76,166970.23000000013,16.40444561140913,A
121332,1.0,414.52,414.52,167384.75000000012,16.445171259297624,A
288287,22.0,18.82,414.04,167798.79000000012,16.485849748277058,A
56310,7.0,58.98,412.85999999999996,168211.6500000001,16.52641230493836,A
614926,3.0,137.48,412.43999999999994,168624.0900000001,16.566933597554232,A
872617,9.0,45.57,410.13,169034.22000000012,16.60722793792022,A
880455,12.0,33.99,407.88,169442.10000000012,16.64730122089996,A
244243,4.0,101.71,406.84,169848.94000000012,16.68727232624338,A
667236,2.0,201.98,403.96,170252.9000000001,16.7269604781324,A
220369,7.0,57.47,402.28999999999996,170655.19000000012,16.766484556316964,A
515691,4.0,100.49,401.96,171057.1500000001,16.805976212751535,A
911686,6.0,66.97,401.82,171458.97000000012,16.845454114504303,A
625214,1.0,401.14,401.14,171860.11000000013,16.884865207802555,A
912617,8.0,49.96,399.68,172259.79000000012,16.92413285941906,A
537972,7.0,57.08,399.56,172659.35000000012,16.963388721308302,A
233737,6.0,66.49,398.93999999999994,173058.29000000012,17.002583669606665,A
286206,5.0,79.39,396.95,173455.24000000014,17.041583104927852,A
633732,14.0,28.31,396.34,173851.58000000013,17.080522609135432,A
2011349,4.0,98.98,395.92,174247.50000000015,17.11942084929758,A
540729,9.0,43.98,395.82,174643.32000000015,17.15830926468701,A
612707,5.0,78.99,394.95,175038.27000000016,17.19711220455375,A
184348,3.0,131.46,394.38,175432.65000000017,17.235859143215976,A
1516912,3.0,130.7,392.09999999999997,175824.75000000017,17.27438207706013,A
642275,4.0,98.0,392.0,176216.75000000017,17.312895186131566,A
717144,8.0,48.99,391.92,176608.6700000002,17.35140043538482,A
795061,5.0,78.38,391.9,177000.57000000018,17.389903719683534,A
576730,7.0,55.89,391.23,177391.8000000002,17.42834117800501,A
530622,5.0,78.05,390.25,177782.0500000002,17.4666823535538,A
1483278,10.0,38.99,389.90000000000003,178171.9500000002,17.504989142398067,A
545642,7.0,55.61,389.27,178561.22000000018,17.54323403517418,A
3484838,7.0,55.43,388.01,178949.23000000019,17.581355135813993,A
528442,10.0,38.75,387.5,179336.73000000019,17.619426130112924,A
655178,3.0,128.9,386.70000000000005,179723.4300000002,17.657418526230074,A
55236,5.0,77.24,386.2,180109.6300000002,17.69536179848362,A
613326,6.0,63.99,383.94,180493.5700000002,17.733083030873633,A
224718,6.0,63.97,383.82,180877.39000000022,17.770792473536385,A
516511,5.0,76.71,383.54999999999995,181260.9400000002,17.80847538931278,A
612243,9.0,42.49,382.41,181643.3500000002,17.846046302680147,A
2729650,3.0,127.3,381.9,182025.2500000002,17.88356710970663,A
58028,3.0,126.96,380.88,182406.1300000002,17.920987704051342,A
544026,7.0,53.99,377.93,182784.0600000002,17.958118467600745,A
50688,7.0,53.96,377.72,183161.7800000002,17.995228599127437,A
715448,2.0,188.46,376.92,183538.70000000022,18.03226013247235,A
1453229,2.0,188.26,376.52,183915.2200000002,18.069252366726367,A
270096,3.0,125.47,376.40999999999997,184291.6300000002,18.106233793730393,A
859710,2.0,187.85,375.7,184667.33000000022,18.143145464848093,A
51575,5.0,75.0,375.0,185042.33000000022,18.179988362556735,A
576722,7.0,53.41,373.87,185416.20000000022,18.216720240333615,A
224733,4.0,93.45,373.8,185790.0000000002,18.253445240769587,A
537653,11.0,33.92,373.12,186163.1200000002,18.29010343275105,A
880687,3.0,123.94,371.82,186534.9400000002,18.326633902687124,A
238827,3.0,123.87,371.61,186906.5500000002,18.363143740600478,A
170055,4.0,92.87,371.48,187278.0300000002,18.399640806309296,A
875165,5.0,74.29,371.45000000000005,187649.4800000002,18.436134924586295,A
57977,7.0,52.98,370.85999999999996,188020.3400000002,18.472571076704234,A
876508,3.0,123.61,370.83,188391.1700000002,18.509004281390354,A
535217,7.0,52.97,370.78999999999996,188761.9600000002,18.54543355616739,A
54510,4.0,92.55,370.2,189132.1600000002,18.581804864785358,A
60292,6.0,61.55,369.29999999999995,189501.4600000002,18.61808775044883,A
525456,5.0,73.55,367.75,189869.2100000002,18.654218352135103,A
872642,4.0,91.93,367.72,190236.9300000002,18.690346006389564,A
705429,2.0,183.38,366.76,190603.6900000002,18.72637934282589,A
252674,5.0,73.11,365.55,190969.2400000002,18.76229379951227,A
533632,12.0,30.39,364.68,191333.9200000002,18.798122780675968,A
532075,5.0,72.91,364.54999999999995,191698.47000000018,18.83393898963513,A
56615,7.0,52.07,364.49,192062.96000000017,18.869749303730657,A
538770,4.0,90.9,363.6,192426.56000000017,18.905472177348955,A
1455282,3.0,120.33,360.99,192787.55000000016,18.9409386243992,A
530506,5.0,72.14,360.7,193148.25000000017,18.976376579608555,A
223580,3.0,120.0,360.0,193508.25000000017,19.011745761408854,A
788366,3.0,119.98,359.94,193868.19000000018,19.047109048345515,A
285557,3.0,119.97,359.90999999999997,194228.10000000018,19.082469387850363,A
536382,15.0,23.97,359.54999999999995,194587.65000000017,19.117794358173406,A
231681,2.0,179.09,358.18,194945.83000000016,19.152984729110155,A
526940,2.0,178.83,357.66,195303.49000000017,19.18812401122875,A
880484,5.0,71.53,357.65,195661.14000000016,19.223262310870073,A
532938,4.0,89.35,357.4,196018.54000000015,19.25837604857959,A
145898,3.0,118.97,356.90999999999997,196375.45000000016,19.293441644902764,A
922228,15.0,23.79,356.84999999999997,196732.30000000016,19.32850134636231,A
897633,1.0,356.53,356.53,197088.83000000016,19.363529608549143,A
620770,7.0,50.86,356.02,197444.85000000015,19.39850776439509,A
663437,3.0,118.5,355.5,197800.35000000015,19.433434831422883,A
61024,9.0,39.44,354.96,198155.31000000014,19.468308844677974,A
176550,8.0,44.34,354.72,198510.03000000014,19.50315927847853,A
768197,3.0,118.11,354.33,198864.36000000013,19.537971395665473,A
115375,7.0,50.41,352.87,199217.23000000013,19.572640071170667,A
1946515,6.0,58.8,352.79999999999995,199570.03000000012,19.607301869334957,A
197759,8.0,43.99,351.92,199921.95000000013,19.64187720949929,A
877701,2.0,175.8,351.6,200273.55000000013,19.676421110390915,A
254007,9.0,38.99,350.91,200624.46000000014,19.710897220350756,A
57107,12.0,29.19,350.28000000000003,200974.74000000014,19.745311434242442,A
146659,15.0,23.33,349.95,201324.69000000015,19.779693226384147,A
112339,5.0,69.94,349.7,201674.39000000016,19.81405045659405,A
51781,7.0,49.77,348.39000000000004,202022.78000000017,19.848278982281286,A
538512,7.0,49.73,348.10999999999996,202370.89000000016,19.8824799986049,A
146695,2.0,173.98,347.96,202718.85000000015,19.91666627776943,A
563632,12.0,28.99,347.88,203066.73000000016,19.950844697115784,A
53671,9.0,38.64,347.76,203414.49000000017,19.98501132673487,A
530936,7.0,49.52,346.64000000000004,203761.13000000018,20.01906791889947,A
241816,9.0,38.38,345.42,204106.5500000002,20.053004648836854,A
535562,4.0,86.26,345.04,204451.5900000002,20.086904044637894,A
52667,3.0,115.01,345.03000000000003,204796.6200000002,20.120802457961663,A
544214,4.0,85.97,343.88,205140.5000000002,20.15458788639912,A
50326,8.0,42.98,343.84,205484.3400000002,20.188369384927494,A
533685,3.0,113.99,341.96999999999997,205826.3100000002,20.22196716020596,A
544356,3.0,113.99,341.96999999999997,206168.2800000002,20.255564935484426,A
252613,3.0,113.84,341.52,206509.8000000002,20.28911849928564,A
248209,2.0,170.59,341.18,206850.98000000019,20.322638658859596,A
859513,10.0,33.97,339.7,207190.6800000002,20.356013411797264,A
544548,3.0,112.98,338.94,207529.6200000002,20.389313496462243,A
649491,3.0,112.84,338.52,207868.1400000002,20.422572317081787,A
546721,7.0,48.21,337.47,208205.6100000002,20.45572797758775,A
285348,3.0,112.23,336.69,208542.3000000002,20.488807004866477,A
52278,15.0,22.43,336.45,208878.7500000002,20.52186245269067,A
143210,4.0,83.99,335.96,209214.7100000002,20.554869759128525,A
526074,4.0,83.89,335.56,209550.2700000002,20.587837766475488,A
50556,8.0,41.94,335.52,209885.79000000018,20.620801843913362,A
54391,16.0,20.93,334.88,210220.6700000002,20.65370304280582,A
621419,3.0,111.07,333.21,210553.88000000018,20.68644016799381,A
52252,14.0,23.79,333.06,210886.94000000018,20.719162556022717,A
627611,12.0,27.72,332.64,211219.5800000002,20.75184368000619,A
58353,4.0,83.09,332.36,211551.94000000018,20.784497294626043,A
545161,3.0,110.69,332.07,211884.01000000018,20.817122417405,A
297890,8.0,41.47,331.76,212215.7700000002,20.849717083388516,A
54718,5.0,66.12,330.6,212546.3700000002,20.882197782008454,A
647050,8.0,41.3,330.4,212876.7700000002,20.91465883108295,A
544419,10.0,32.99,329.90000000000003,213206.6700000002,20.947070756293833,A
762303,4.0,82.4,329.6,213536.2700000002,20.97945320718655,A
200325,3.0,109.79,329.37,213865.6400000002,21.011813061102004,A
533860,4.0,82.25,329.0,214194.6400000002,21.044136563358386,A
388337,7.0,46.99,328.93,214523.57000000018,21.07645318827386,A
164642,5.0,65.75,328.75,214852.32000000018,21.108752128598436,A
625348,3.0,109.39,328.17,215180.4900000002,21.140994085241225,A
146636,2.0,163.97,327.94,215508.4300000002,21.17321344490675,A
2264268,5.0,65.43,327.15000000000003,215835.5800000002,21.205355188867767,A
537593,3.0,108.97,326.90999999999997,216162.4900000002,21.237473353374252,A
243813,4.0,81.65,326.6,216489.0900000002,21.2695610610853,A
391036,5.0,65.31,326.55,216815.6400000002,21.301643856409985,A
292900,4.0,81.58,326.32,217141.9600000002,21.333704054757412,A
178098,10.0,32.6,326.0,217467.9600000002,21.36573281383212,A
533428,3.0,107.99,323.96999999999997,217791.9300000002,21.39756213002057,A
619111,6.0,53.99,323.94,218115.8700000002,21.429388498777204,A
538474,6.0,53.99,323.94,218439.8100000002,21.46121486753384,A
417212,6.0,53.93,323.58,218763.3900000002,21.49300586710867,A
2837806,6.0,53.93,323.58,219086.97000000018,21.524796866683506,A
286277,5.0,64.69,323.45,219410.4200000002,21.556575094053798,A
912583,5.0,64.65,323.25,219733.6700000002,21.588333671878647,A
619541,6.0,53.87,323.21999999999997,220056.8900000002,21.62008930227168,A
346317,2.0,161.55,323.1,220379.9900000002,21.651833142937445,A
871932,2.0,160.14,320.28,220700.2700000002,21.683299925012445,A
153613,4.0,80.0,320.0,221020.2700000002,21.714739197723816,A
1719607,5.0,63.98,319.9,221340.1700000002,21.74616864566247,A
57907,4.0,79.87,319.48,221659.6500000002,21.77755682955569,A
545177,3.0,106.01,318.03000000000003,221977.6800000002,21.808802554244433,A
620804,5.0,63.38,316.90000000000003,222294.5800000002,21.839937259001417,A
2073512,4.0,78.99,315.96,222610.54000000018,21.870979610894807,A
867918,4.0,78.94,315.76,222926.3000000002,21.902002313242757,A
535145,3.0,105.12,315.36,223241.66000000018,21.932985716499818,A
540423,11.0,28.49,313.39,223555.0500000002,21.96377557173425,A
1455968,6.0,52.17,313.02,223868.07000000018,21.994529075309604,A
537837,3.0,103.99,311.96999999999997,224180.04000000018,22.02517941877138,A
539405,5.0,62.39,311.95,224491.9900000002,22.05582779727861,A
52332,8.0,38.99,311.92,224803.9100000002,22.086473228354023,A
525193,4.0,77.98,311.92,225115.83000000022,22.117118659429437,A
861166,3.0,103.94,311.82,225427.65000000023,22.147754265732125,A
657795,3.0,103.93,311.79,225739.44000000024,22.178386924603,A
529683,8.0,38.97,311.76,226051.20000000024,22.20901663604206,A
535782,6.0,51.89,311.34000000000003,226362.54000000024,22.23960508343568,A
905450,2.0,155.67,311.34,226673.88000000024,22.270193530829303,A
1456079,3.0,103.7,311.1,226984.98000000024,22.30075839876839,A
1772704,1.0,310.19,310.19,227295.17000000025,22.33123386127571,A
56726,7.0,44.28,309.96000000000004,227605.13000000024,22.361686726805765,A
111892,4.0,77.49,309.96,227915.09000000023,22.39213959233582,A
877249,7.0,44.26,309.82,228224.91000000024,22.42257870318406,A
