Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,64%_BPM,76%_BPM,Intensity,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender,Workout_Type_Cardio,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga
36,64.2,1.78,192,130,122.88,145.92,2,74,1.38,1708.0,31.9,2.1,3,1,20.26259311,1,0,0,0,1
18,129.4,1.5,177,145,113.28,134.52,3,71,1.346,772.0,22.0,1.7,5,1,57.51111111,0,0,0,1,0
25,57.2,1.82,184,140,117.76,139.84,3,74,1.15,888.0,26.9,2.6,4,2,17.26844584,0,0,0,1,0
59,71.8,1.5,165,152,105.6,125.4,3,74,1.94,758.0,28.9,3.3,3,1,31.91111111,0,0,0,0,1
18,112.4,1.71,177,165,113.28,134.52,3,55,1.56,1044.0,33.5,1.7,2,2,38.43917787,0,0,1,0,0
18,40.0,1.72,188,155,120.32,142.88,3,74,1.51,1266.0,26.4,2.5,2,2,13.52082207,0,1,0,0,0
25,64.3,1.65,183,169,117.12,139.08,3,67,1.28,1783.0,20.0,3.2,2,3,23.61799816,1,1,0,0,0
32,72.4,1.74,189,127,120.96,143.64,2,60,1.4,1090.0,16.9,1.6,2,1,23.91333069,0,0,0,0,1
28,62.4,1.56,193,141,123.52,146.68,2,55,2.0,861.0,32.2,3.6,3,1,25.64102564,0,1,0,0,0
27,78.6,1.65,198,127,126.72,150.48,2,66,1.61,938.0,26.8,3.1,3,1,28.87052342,1,0,0,0,1
44,45.0,1.53,199,158,127.36,151.24,3,50,0.7,930.0,21.9,3.6,4,1,19.22337562,1,0,0,1,0
20,103.4,1.53,180,166,115.2,136.8,3,56,1.28,631.0,23.0,3.0,4,1,44.17104532,1,0,1,0,0
51,79.2,1.85,178,147,113.92,135.28,3,51,1.52,1355.0,23.2,2.0,4,1,23.14097882,0,0,0,1,0
52,40.0,1.84,182,156,116.48,138.32,3,56,1.2,1258.0,25.0,2.0,4,2,11.8147448,1,1,0,0,0
35,75.7,1.61,192,147,122.88,145.92,3,52,0.92,1211.0,21.2,2.4,3,2,29.20412021,0,0,0,1,0
21,76.8,1.75,166,125,106.24,126.16,2,74,1.56,1152.0,25.1,2.7,3,1,25.07755102,0,0,0,1,0
48,112.6,1.69,160,162,102.4,121.6,3,63,0.89,1482.0,22.6,2.5,4,2,39.4243899,1,1,0,0,0
18,73.7,1.78,192,154,122.88,145.92,3,73,1.18,851.0,27.4,2.6,2,2,23.2609519,0,0,0,1,0
18,84.0,1.71,194,148,124.16,147.44,3,52,0.92,621.0,28.3,3.4,3,3,28.72678773,1,0,0,1,0
28,68.0,1.7,174,155,111.36,132.24,3,68,0.74,1464.0,17.0,2.3,3,2,23.52941176,0,0,0,0,1
23,107.6,1.5,187,136,119.68,142.12,2,71,1.53,1062.0,10.0,2.3,5,3,47.82222222,0,1,0,0,0
30,54.3,1.82,185,168,118.4,140.6,3,66,1.4,1415.0,25.4,3.6,3,1,16.39294771,1,0,0,1,0
18,42.8,1.89,194,162,124.16,147.44,3,73,2.0,736.0,22.5,1.5,3,2,11.98174743,1,0,0,1,0
37,55.4,1.68,197,143,126.08,149.72,2,52,1.04,338.0,27.4,3.2,3,3,19.62868481,1,1,0,0,0
49,102.4,1.65,185,148,118.4,140.6,3,68,1.27,980.0,34.8,2.0,5,1,37.61248852,1,1,0,0,0
42,95.5,1.95,168,125,107.52,127.68,2,72,1.91,632.0,26.1,2.0,4,1,25.11505588,1,0,1,0,0
27,58.7,1.98,199,145,127.36,151.24,2,52,2.0,1119.0,23.0,2.7,2,3,14.97296194,1,1,0,0,0
35,49.7,1.86,161,148,103.04,122.36,3,62,1.12,867.0,15.2,1.8,4,3,14.36582264,1,0,0,1,0
24,86.5,1.65,196,169,125.44,148.96,3,59,1.08,771.0,27.3,2.1,3,1,31.77226814,1,1,0,0,0
44,63.6,1.78,167,129,106.88,126.92,3,74,1.34,1165.0,10.7,3.4,4,1,20.07322308,1,0,0,0,1
52,58.7,1.58,169,131,108.16,128.44,3,53,1.14,900.0,28.5,3.3,3,2,23.51385996,0,0,1,0,0
49,56.6,1.75,198,120,126.72,150.48,1,72,1.12,1767.0,23.6,2.6,2,2,18.48163265,1,0,0,0,1
36,40.0,1.71,178,169,113.92,135.28,3,69,1.3,1519.0,27.5,2.7,4,1,13.67942273,1,0,1,0,0
23,67.7,1.73,188,162,120.32,142.88,3,54,1.76,954.0,18.0,3.2,3,1,22.62020114,1,0,0,0,1
56,40.0,1.74,172,146,110.08,130.72,3,74,1.43,876.0,26.0,3.4,2,1,13.21178491,1,0,0,0,1
48,68.0,1.69,185,144,118.4,140.6,3,68,1.23,695.0,14.2,2.6,2,1,23.80869017,1,0,0,0,1
24,68.3,1.74,184,161,117.76,139.84,3,51,1.9,566.0,27.5,3.5,4,1,22.55912274,0,1,0,0,0
22,99.1,1.72,182,169,116.48,138.32,3,62,1.14,1105.0,31.4,3.6,4,1,33.49783667,1,0,0,0,1
20,72.9,1.63,164,156,104.96,124.64,3,51,1.11,582.0,27.1,3.2,3,2,27.43799164,1,0,0,1,0
44,40.0,1.68,175,156,112.0,133.0,3,74,1.04,1010.0,28.1,1.8,3,3,14.1723356,1,1,0,0,0
33,58.3,1.77,167,153,106.88,126.92,3,74,1.41,969.0,29.5,2.6,2,1,18.60895656,1,0,0,1,0
18,40.0,1.64,177,134,113.28,134.52,2,53,0.98,468.0,25.6,2.1,3,3,14.87209994,0,0,0,1,0
59,45.8,1.5,163,137,104.32,123.88,3,55,1.98,1306.0,24.0,2.9,4,2,20.35555556,0,1,0,0,0
27,52.3,1.75,180,128,115.2,136.8,2,61,1.92,931.0,15.0,2.5,4,2,17.07755102,0,0,0,1,0
33,76.3,1.95,188,125,120.32,142.88,2,72,0.95,899.0,21.7,2.3,5,1,20.06574622,1,0,0,1,0
47,77.5,1.72,176,151,112.64,133.76,3,56,1.39,679.0,13.3,3.5,2,3,26.19659275,0,1,0,0,0
18,68.54,1.8,197,165,126.08,149.72,3,56,0.74,1208.0,26.1,3.3,3,3,21.15432099,0,0,1,0,0
46,40.0,1.58,177,132,113.28,134.52,2,58,1.29,1189.0,31.1,2.5,4,2,16.02307323,1,0,0,1,0
27,96.3,1.61,198,159,126.72,150.48,3,70,1.16,1203.0,32.1,3.1,3,1,37.15134447,0,1,0,0,0
34,49.6,1.52,191,145,122.24,145.16,2,59,1.59,744.0,22.2,1.6,3,1,21.46814404,1,0,1,0,0
45,86.4,1.51,174,159,111.36,132.24,3,69,1.23,1313.0,35.0,3.3,3,3,37.89307487,0,1,0,0,0
55,68.4,1.85,175,150,112.0,133.0,3,58,1.16,1020.0,29.2,2.5,4,2,19.9853908,1,1,0,0,0
18,56.9,1.77,183,131,117.12,139.08,2,57,1.28,1052.0,20.7,3.5,4,2,18.16208625,1,1,0,0,0
41,51.1,1.94,185,137,118.4,140.6,2,72,1.23,1084.0,16.4,2.3,3,2,13.57742587,1,0,0,1,0
24,47.6,1.51,175,120,112.0,133.0,2,70,0.78,583.0,22.6,1.7,5,1,20.87627736,0,0,0,1,0
26,88.8,1.7,193,169,123.52,146.68,3,68,1.91,1145.0,18.1,3.7,2,2,30.7266436,1,0,0,1,0
18,67.5,1.69,177,169,113.28,134.52,3,72,1.07,975.0,26.2,1.6,4,3,23.63362627,1,0,0,1,0
29,96.7,1.7,175,141,112.0,133.0,3,54,2.0,880.0,32.9,2.3,2,3,33.46020761,0,0,0,0,1
26,55.7,1.99,172,142,110.08,130.72,3,68,2.0,1583.0,18.9,3.2,4,1,14.06530138,1,0,0,1,0
43,112.0,1.71,166,146,106.24,126.16,3,58,1.62,815.0,31.2,2.6,3,1,38.30238364,0,0,1,0,0
48,75.2,1.72,193,169,123.52,146.68,3,59,1.54,1726.0,30.9,1.9,2,2,25.41914548,0,1,0,0,0
29,72.0,1.66,167,144,106.88,126.92,3,68,0.87,1248.0,10.0,3.6,4,3,26.12861083,1,0,1,0,0
57,63.6,1.87,170,158,108.8,129.2,3,65,1.56,840.0,23.7,3.6,4,1,18.18753753,1,0,0,1,0
22,75.7,1.56,194,142,124.16,147.44,2,61,1.23,643.0,28.8,2.3,3,3,31.10618014,1,0,0,1,0
20,59.1,1.62,191,127,122.24,145.16,2,54,1.02,995.0,26.2,3.4,3,1,22.51943301,0,0,0,1,0
39,41.3,1.76,175,136,112.0,133.0,3,69,1.42,1096.0,24.3,3.2,3,2,13.33290289,1,0,0,0,1
41,40.0,1.77,176,148,112.64,133.76,3,65,1.03,1238.0,11.6,1.9,5,1,12.7677232,0,0,0,0,1
41,63.7,1.93,195,155,124.8,148.2,3,61,1.18,1064.0,21.2,3.4,4,1,17.10113023,1,0,1,0,0
31,100.0,1.75,190,169,121.6,144.4,3,67,1.46,1573.0,20.8,3.4,4,2,32.65306122,1,0,1,0,0
20,45.0,1.68,171,154,109.44,129.96,3,74,1.5,1692.0,10.0,2.4,4,1,15.94387755,0,0,0,0,1
26,47.1,1.61,189,138,120.96,143.64,2,52,1.26,1095.0,19.3,3.6,3,3,18.17059527,0,0,0,0,1
37,72.1,1.83,164,152,104.96,124.64,3,58,1.58,1091.0,34.4,3.3,4,2,21.52945743,1,1,0,0,0
59,57.5,1.81,175,169,112.0,133.0,3,58,1.47,1349.0,24.7,2.5,5,2,17.5513568,0,1,0,0,0
22,54.3,1.85,165,144,105.6,125.4,3,53,2.0,1740.0,26.6,3.7,4,2,15.86559533,0,1,0,0,0
25,63.9,1.67,178,144,113.92,135.28,3,61,1.56,868.0,24.8,2.4,3,2,22.91225931,0,0,0,1,0
32,56.6,2.0,190,123,121.6,144.4,2,65,1.25,1309.0,14.7,3.5,4,3,14.15,0,0,1,0,0
37,68.9,1.65,171,132,109.44,129.96,3,50,1.19,767.0,23.0,2.68,3,3,25.30762167,1,0,0,1,0
29,95.3,1.72,190,169,121.6,144.4,3,74,1.49,733.0,29.2,3.7,5,3,32.21335857,1,0,1,0,0
30,96.3,2.0,173,136,110.72,131.48,3,74,2.0,1095.0,20.4,1.5,5,2,24.075,1,0,1,0,0
28,84.4,1.74,182,142,116.48,138.32,3,52,1.45,1392.0,22.0,2.6,2,1,27.87686616,0,0,0,1,0
33,60.5,1.54,195,126,124.8,148.2,2,56,1.27,1237.0,29.1,3.7,4,2,25.51020408,0,1,0,0,0
48,49.8,1.69,184,143,117.76,139.84,3,56,1.37,1159.8,17.7,2.7,3,3,17.43636427,1,0,0,1,0
32,47.2,1.81,187,129,119.68,142.12,2,55,1.19,919.0,30.5,1.9,4,2,14.40737462,0,0,1,0,0
54,56.3,1.59,172,169,110.08,130.72,3,68,1.47,936.0,19.6,3.1,4,2,22.2696887,1,1,0,0,0
49,45.0,1.84,190,159,121.6,144.4,3,53,1.3,864.0,26.5,1.5,4,2,13.2915879,0,0,1,0,0
53,87.7,1.84,164,152,104.96,124.64,3,53,1.37,1066.0,24.7,2.6,5,2,25.90382798,0,1,0,0,0
54,46.1,1.85,187,162,119.68,142.12,3,63,1.35,772.0,25.7,3.6,4,1,13.4696859,1,0,0,1,0
18,69.8,1.82,178,168,113.92,135.28,3,58,1.9,963.0,31.4,3.7,5,2,21.07233426,1,0,1,0,0
18,79.2,1.77,198,137,126.72,150.48,2,66,1.2,1429.0,12.9,3.7,3,2,25.28009193,0,0,0,0,1
29,60.6,1.76,188,148,120.32,142.88,3,50,1.38,676.0,30.2,2.5,3,2,19.56353306,0,0,0,1,0
22,53.3,1.73,172,144,110.08,130.72,3,71,1.1,1235.0,22.8,2.6,3,1,17.80881419,1,0,0,1,0
20,95.7,1.85,196,136,125.44,148.96,2,58,1.44,987.0,23.8,1.5,3,2,27.96201607,0,0,1,0,0
29,57.4,1.74,198,165,126.72,150.48,3,67,1.58,880.0,20.9,3.3,4,1,18.95891135,1,0,0,1,0
47,87.3,1.9,194,164,124.16,147.44,3,74,1.87,1073.0,23.7,3.5,5,2,24.18282548,0,0,1,0,0
20,71.42,1.75,193,136,123.52,146.68,2,51,0.58,1218.0,28.4,3.0,4,1,23.32081633,1,0,0,0,1
18,79.2,1.66,176,154,112.64,133.76,3,72,1.58,1493.0,18.1,2.3,3,1,28.74147191,0,0,0,1,0
18,73.8,1.75,187,149,119.68,142.12,3,74,1.64,1065.0,17.7,2.4,3,1,24.09795918,0,0,1,0,0
33,66.3,1.76,164,120,104.96,124.64,2,74,1.44,419.0,25.4,2.6,3,3,21.40366736,1,0,0,1,0
27,72.8,1.82,162,136,103.68,123.12,3,57,1.23,780.0,11.4,3.5,4,3,21.97802198,0,0,1,0,0
38,50.0,1.75,186,135,119.04,141.36,2,59,2.0,695.0,23.4,1.6,4,1,16.32653061,0,0,0,1,0
29,93.5,1.85,166,167,106.24,126.16,3,74,1.01,670.0,23.2,2.6,3,1,27.3192111,1,1,0,0,0
54,84.0,1.94,178,133,113.92,135.28,2,53,1.47,942.0,30.7,1.5,4,1,22.31905622,0,0,0,0,1
37,55.3,1.73,183,134,117.12,139.08,2,51,1.1,976.0,31.3,2.8,2,2,18.47706238,1,0,0,0,1
21,66.6,1.85,189,121,120.96,143.64,2,56,0.88,993.0,13.9,3.4,5,1,19.45945946,0,0,1,0,0
21,65.8,1.62,172,127,110.08,130.72,2,62,1.35,1307.0,26.0,3.4,3,1,25.0723975,1,1,0,0,0
26,59.8,1.6,180,151,115.2,136.8,3,58,1.2,611.0,16.4,2.5,3,3,23.359375,1,0,1,0,0
42,80.3,1.94,192,169,122.88,145.92,3,52,1.72,753.0,24.6,3.5,5,2,21.33595494,1,0,0,0,1
31,129.9,1.7,190,169,121.6,144.4,3,69,1.38,735.0,10.0,2.1,3,3,44.94809689,1,0,0,1,0
50,40.0,1.75,162,169,103.68,123.12,3,55,2.0,1449.0,31.7,3.5,4,3,13.06122449,1,0,0,0,1
51,91.7,1.72,168,137,107.52,127.68,3,58,0.86,1529.0,10.0,1.7,3,1,30.99648459,1,1,0,0,0
18,64.8,1.82,169,156,108.16,128.44,3,69,1.93,1516.0,21.9,3.5,3,2,19.56285473,0,0,0,1,0
54,60.1,1.63,174,159,111.36,132.24,3,72,0.52,893.0,18.4,3.6,4,1,22.62034702,0,1,0,0,0
38,59.0,1.68,169,134,108.16,128.44,3,67,1.36,1783.0,24.5,2.4,3,1,20.90419501,1,0,0,0,1
37,46.3,1.69,181,141,115.84,137.56,3,67,1.64,1445.0,20.7,2.5,4,2,16.21091698,0,0,0,1,0
21,66.9,1.69,197,149,126.08,149.72,2,74,1.37,872.0,16.6,2.6,5,2,23.4235496,0,0,0,0,1
19,40.0,1.93,167,158,106.88,126.92,3,74,1.19,1265.0,24.7,2.6,4,3,10.73854332,1,0,0,0,1
32,79.0,1.6,165,149,105.6,125.4,3,62,1.59,1245.0,21.42,2.2,3,2,30.859375,1,0,0,0,1
36,50.1,1.85,199,140,127.36,151.24,2,68,0.91,1243.0,30.7,2.8,4,2,14.63842221,1,0,0,1,0
23,71.3,1.77,171,134,109.44,129.96,3,50,1.34,1239.0,35.0,2.5,3,3,22.7584666,0,1,0,0,0
45,68.3,1.75,185,133,118.4,140.6,2,65,1.31,1595.0,29.1,2.5,4,2,22.30204082,1,0,0,1,0
39,66.8,1.61,177,127,113.28,134.52,2,59,1.64,770.0,28.0,3.1,4,1,25.7706107,1,0,0,0,1
45,53.9,1.68,169,141,108.16,128.44,3,71,1.59,1031.0,19.2,2.1,3,3,19.09722222,0,0,0,0,1
33,97.1,1.86,166,127,106.24,126.16,3,72,1.39,1783.0,11.0,1.5,4,1,28.06682854,1,0,1,0,0
27,40.0,1.57,178,169,113.92,135.28,3,52,1.32,949.0,28.4,3.1,3,2,16.22783886,1,0,0,1,0
37,62.1,1.85,196,151,125.44,148.96,3,64,1.28,943.0,26.7,3.3,4,1,18.14463112,0,0,1,0,0
28,60.7,1.73,198,124,126.72,150.48,1,70,1.34,1212.0,24.8,2.0,2,1,20.28133249,0,1,0,0,0
18,46.9,1.84,185,147,118.4,140.6,3,65,1.29,1040.0,21.8,1.7,3,1,13.85278828,0,0,1,0,0
18,90.8,1.66,182,134,116.48,138.32,2,56,1.77,990.0,10.0,1.8,4,2,32.95108143,1,0,0,0,1
24,44.0,1.79,193,164,123.52,146.68,3,62,1.84,622.0,26.3,3.5,4,2,13.73240536,1,0,0,1,0
27,75.1,1.86,175,165,112.0,133.0,3,70,1.29,765.0,27.0,3.5,4,2,21.70771187,1,0,0,1,0
23,74.2,1.71,199,150,127.36,151.24,2,57,1.05,1166.0,34.5,3.3,4,1,25.37532916,1,1,0,0,0
23,58.2,1.85,196,130,125.44,148.96,2,57,1.36,582.0,25.7,1.5,4,1,17.00511322,1,0,1,0,0
25,65.9,1.802,180,151,115.2,136.8,3,56,1.66,825.0,10.0,2.5,4,1,20.29438249,1,1,0,0,0
23,78.7,1.68,191,132,122.24,145.16,2,70,1.28,1319.0,21.1,3.5,2,2,27.88407029,1,0,0,1,0
43,74.2,1.76,188,141,120.32,142.88,2,68,0.98,1426.0,21.2,3.1,2,3,23.95402893,0,1,0,0,0
18,56.1,2.0,180,120,115.2,136.8,2,57,1.04,1461.0,27.4,2.0,5,2,14.025,0,0,1,0,0
45,42.1,1.86,194,129,124.16,147.44,2,74,0.91,1176.0,22.1,3.6,5,1,12.16903688,1,0,0,1,0
18,40.0,1.73,168,121,107.52,127.68,2,73,0.64,1153.0,29.9,3.1,2,3,13.36496375,0,0,1,0,0
18,40.0,1.85,175,144,112.0,133.0,3,51,2.0,1318.0,32.7,2.0,4,2,11.68736304,0,0,0,1,0
20,60.78,1.81,171,168,109.44,129.96,3,74,0.75,793.0,24.4,2.1,3,2,18.55254724,0,0,0,1,0
22,40.0,1.75,181,155,115.84,137.56,3,50,2.0,998.0,27.0,1.8,4,1,13.06122449,1,0,0,1,0
28,107.7,1.99,188,129,120.32,142.88,2,55,2.0,1127.0,10.0,2.0,2,1,27.19628292,1,0,0,0,1
18,40.0,1.8,196,120,125.44,148.96,1,70,2.0,979.0,10.0,2.6,4,1,12.34567901,1,1,0,0,0
57,70.0,1.81,167,154,106.88,126.92,3,53,1.3,1149.0,26.6,1.5,3,3,21.36686914,1,0,0,0,1
55,63.2,1.59,161,168,103.04,122.36,3,69,1.49,1094.0,19.0,3.6,3,2,24.99901112,1,0,0,0,1
50,69.6,1.71,167,169,106.88,126.92,3,57,0.98,470.0,27.2,2.7,2,2,23.80219555,0,0,0,0,1
32,57.0,1.76,170,160,108.8,129.2,3,71,1.82,904.0,30.9,3.3,4,3,18.40134298,0,0,0,1,0
20,75.8,1.87,160,163,102.4,121.6,3,63,2.0,988.0,23.5,2.7,4,3,21.6763419,1,0,1,0,0
18,54.7,1.6,167,156,106.88,126.92,3,57,1.63,1134.0,22.7,3.4,4,2,21.3671875,0,0,0,0,1
30,62.2,1.69,164,134,104.96,124.64,3,67,1.24,1783.0,30.3,3.2,3,2,21.77794895,0,1,0,0,0
18,97.5,2.0,169,159,108.16,128.44,3,68,1.17,782.0,24.8,1.8,2,1,24.375,0,0,0,1,0
31,51.0,1.56,193,140,123.52,146.68,2,64,1.41,1347.0,28.6,3.5,2,2,20.9566075,1,1,0,0,0
18,50.6,1.89,189,130,120.96,143.64,2,66,1.476,1278.0,28.5,3.7,4,2,14.16533692,0,0,1,0,0
31,71.0,1.81,199,158,127.36,151.24,3,68,1.87,1228.0,29.6,2.7,2,2,21.67211013,1,0,0,1,0
28,70.0,1.74,198,169,126.72,150.48,3,69,2.0,1468.0,28.4,2.8,4,2,23.1206236,1,1,0,0,0
23,57.8,1.87,172,142,110.08,130.72,3,54,1.46,1741.0,28.7,3.5,3,2,16.52892562,0,0,0,1,0
48,67.3,1.61,173,139,110.72,131.48,3,59,0.86,659.0,20.5,2.7,3,2,25.96350449,0,1,0,0,0
52,73.5,1.78,181,162,115.84,137.56,3,67,2.0,1325.0,21.1,2.3,3,3,23.19782856,1,0,0,0,1
18,94.7,1.52,161,141,103.04,122.36,3,66,1.4,1446.0,16.7,2.6,3,2,40.98857341,0,0,0,0,1
47,40.0,1.89,177,139,113.28,134.52,3,69,1.3,902.0,26.7,3.3,3,3,11.1978948,0,0,1,0,0
54,63.5,1.51,192,147,122.88,145.92,3,70,1.23,526.0,28.3,2.2,3,3,27.84965572,1,0,0,0,1
22,60.1,1.71,198,161,126.72,150.48,3,70,1.04,533.0,10.3,3.4,5,1,20.55333265,1,0,1,0,0
43,70.4,1.62,178,140,113.92,135.28,3,66,1.58,763.0,29.1,3.4,3,1,26.82517909,0,0,1,0,0
31,40.0,1.77,181,127,115.84,137.56,2,51,0.76,1382.0,15.3,2.6,4,2,12.7677232,0,1,0,0,0
48,55.5,1.5,183,133,117.12,139.08,2,51,0.73,830.0,27.3,2.2,3,3,24.66666667,0,1,0,0,0
51,75.7,1.706,163,147,104.32,123.88,3,57,1.02,406.0,21.8,1.5,3,3,26.0098487,0,0,0,1,0
23,95.6,1.5,196,152,125.44,148.96,3,56,0.5,639.0,25.2,3.2,2,1,42.48888889,1,0,0,0,1
43,102.5,1.79,190,138,121.6,144.4,2,69,1.54,844.0,19.7,3.7,4,2,31.99026248,0,1,0,0,0
50,56.6,1.96,196,169,125.44,148.96,3,74,2.0,1299.0,24.8,1.6,3,2,14.7334444,0,0,0,1,0
30,40.0,1.67,176,120,112.64,133.76,2,55,1.39,1710.0,18.2,2.7,3,1,14.34257234,0,1,0,0,0
25,74.9,1.66,192,138,122.88,145.92,2,58,1.73,1766.0,28.7,2.3,5,1,27.18101321,1,0,1,0,0
19,82.8,1.79,192,127,122.88,145.92,2,74,1.18,1140.0,10.0,2.4,4,3,25.84189008,1,1,0,0,0
45,40.0,1.93,177,141,113.28,134.52,3,56,1.44,851.6,24.0,3.6,4,1,10.73854332,1,0,0,1,0
41,73.3,1.71,196,158,125.44,148.96,3,56,1.36,1234.0,30.1,3.2,4,3,25.06754215,1,0,0,1,0
53,55.3,1.98,177,169,113.28,134.52,3,51,0.83,1273.0,14.7,2.1,2,2,14.1057035,0,0,0,1,0
35,95.9,1.69,175,129,112.0,133.0,2,58,1.22,1674.0,27.5,2.1,3,3,33.5772557,0,1,0,0,0
33,89.6,1.62,175,137,112.0,133.0,3,56,1.09,906.0,23.9,1.6,3,1,34.14113702,0,1,0,0,0
21,86.3,1.86,167,143,106.88,126.92,3,73,1.26,1783.0,27.1,3.1,3,2,24.94508036,0,1,0,0,0
27,71.3,1.78,168,162,107.52,127.68,3,71,1.93,1105.0,28.9,2.7,4,1,22.50347178,1,0,1,0,0
33,42.7,1.82,196,145,125.44,148.96,2,68,1.24,1436.0,26.3,3.7,4,1,12.8909552,0,0,0,0,1
33,103.3,1.72,180,162,115.2,136.8,3,58,0.66,1104.0,22.6,3.2,2,1,34.91752299,1,0,0,0,1
33,76.8,1.72,193,126,123.52,146.68,2,69,1.26,790.0,31.8,3.3,4,1,25.95997837,0,0,1,0,0
23,69.1,1.63,198,138,126.72,150.48,2,57,2.0,1549.0,21.4,3.3,2,1,26.0077534,1,0,0,0,1
30,75.6,1.82,196,138,125.44,148.96,2,74,1.31,925.0,32.4,3.3,3,3,22.82333052,0,1,0,0,0
18,42.0,1.74,197,120,126.08,149.72,1,57,2.0,1236.0,26.6,1.5,3,2,13.87237416,1,1,0,0,0
56,62.9,1.5,194,153,124.16,147.44,3,74,1.85,991.0,23.2,2.4,3,2,27.95555556,0,0,0,0,1
22,53.5,1.76,194,137,124.16,147.44,2,66,2.0,1395.0,13.1,2.3,5,2,17.27143595,1,0,0,1,0
21,90.7,1.75,190,135,121.6,144.4,2,54,1.03,1155.0,28.0,2.3,3,2,29.61632653,1,1,0,0,0
21,74.7,1.59,161,169,103.04,122.36,3,74,1.08,1379.0,15.2,2.5,3,2,29.54788181,0,0,0,0,1
50,82.6,1.71,164,160,104.96,124.64,3,63,1.33,1011.0,22.4,3.6,5,2,28.24800793,0,0,0,0,1
27,40.0,1.76,183,125,117.12,139.08,2,60,1.04,1783.0,21.9,3.3,4,2,12.91322314,0,0,0,0,1
27,70.1,1.58,169,156,108.16,128.44,3,63,0.82,797.0,28.1,3.4,3,1,28.08043583,1,1,0,0,0
29,40.2,1.7,184,152,117.76,139.84,3,70,1.82,744.0,13.2,2.6,3,2,13.9100346,1,0,0,1,0
19,76.4,1.79,189,132,120.96,143.64,2,57,1.41,1414.0,33.3,3.5,3,2,23.8444493,1,0,1,0,0
39,78.5,1.59,197,153,126.08,149.72,3,71,1.88,1009.0,26.0,3.7,5,1,31.05098691,0,0,0,0,1
18,72.1,1.79,194,169,124.16,147.44,3,71,1.89,716.0,16.7,3.2,2,2,22.50241878,1,0,0,1,0
