Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,64%_BPM,76%_BPM,Intensity,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender,Workout_Type
35,49.7,1.86,161,148,103.04,122.36,3,62,1.12,867,15.2,1.8,4,3,14.36582264,Female,Strength
24,86.5,1.65,196,169,125.44,148.96,3,59,1.08,771,27.3,2.1,3,1,31.77226814,Female,Cardio
44,63.6,1.78,167,129,106.88,126.92,3,74,1.34,1165,10.7,3.4,4,1,20.07322308,Female,Yoga
52,58.7,1.58,169,131,108.16,128.44,3,53,1.14,900,28.5,3.3,3,2,23.51385996,Male,HIIT
49,56.6,1.75,198,120,126.72,150.48,1,72,1.12,1767,23.6,2.6,2,2,18.48163265,Female,Yoga
36,40,1.71,178,169,113.92,135.28,3,69,1.3,1519,27.5,2.7,4,1,13.67942273,Female,HIIT
23,67.7,1.73,188,162,120.32,142.88,3,54,1.76,954,18,3.2,3,1,22.62020114,Female,Yoga
56,40,1.74,172,146,110.08,130.72,3,74,1.43,876,26,3.4,2,1,13.21178491,Female,Yoga
48,68,1.69,185,144,118.4,140.6,3,68,1.23,695,14.2,2.6,2,1,23.80869017,Female,Yoga
24,68.3,1.74,184,161,117.76,139.84,3,51,1.9,566,27.5,3.5,4,1,22.55912274,Male,Cardio
22,99.1,1.72,182,169,116.48,138.32,3,62,1.14,1105,31.4,3.6,4,1,33.49783667,Female,Yoga
20,72.9,1.63,164,156,104.96,124.64,3,51,1.11,582,27.1,3.2,3,2,27.43799164,Female,Strength
44,40,1.68,175,156,112,133,3,74,1.04,1010,28.1,1.8,3,3,14.1723356,Female,Cardio
33,58.3,1.77,167,153,106.88,126.92,3,74,1.41,969,29.5,2.6,2,1,18.60895656,Female,Strength
18,40,1.64,177,134,113.28,134.52,2,53,0.98,468,25.6,2.1,3,3,14.87209994,Male,Strength
59,45.8,1.5,163,137,104.32,123.88,3,55,1.98,1306,24,2.9,4,2,20.35555556,Male,Cardio
27,52.3,1.75,180,128,115.2,136.8,2,61,1.92,931,15,2.5,4,2,17.07755102,Male,Strength
33,76.3,1.95,188,125,120.32,142.88,2,72,0.95,899,21.7,2.3,5,1,20.06574622,Female,Strength
47,77.5,1.72,176,151,112.64,133.76,3,56,1.39,679,13.3,3.5,2,3,26.19659275,Male,Cardio
18,68.54,1.8,197,165,126.08,149.72,3,56,0.74,1208,26.1,3.3,3,3,21.15432099,Male,HIIT
46,40,1.58,177,132,113.28,134.52,2,58,1.29,1189,31.1,2.5,4,2,16.02307323,Female,Strength
27,96.3,1.61,198,159,126.72,150.48,3,70,1.16,1203,32.1,3.1,3,1,37.15134447,Male,Cardio
34,49.6,1.52,191,145,122.24,145.16,2,59,1.59,744,22.2,1.6,3,1,21.46814404,Female,HIIT
45,86.4,1.51,174,159,111.36,132.24,3,69,1.23,1313,35,3.3,3,3,37.89307487,Male,Cardio
55,68.4,1.85,175,150,112,133,3,58,1.16,1020,29.2,2.5,4,2,19.9853908,Female,Cardio
18,56.9,1.77,183,131,117.12,139.08,2,57,1.28,1052,20.7,3.5,4,2,18.16208625,Female,Cardio
41,51.1,1.94,185,137,118.4,140.6,2,72,1.23,1084,16.4,2.3,3,2,13.57742587,Female,Strength
24,47.6,1.51,175,120,112,133,2,70,0.78,583,22.6,1.7,5,1,20.87627736,Male,Strength
26,88.8,1.7,193,169,123.52,146.68,3,68,1.91,1145,18.1,3.7,2,2,30.7266436,Female,Strength
18,67.5,1.69,177,169,113.28,134.52,3,72,1.07,975,26.2,1.6,4,3,23.63362627,Female,Strength
29,96.7,1.7,175,141,112,133,3,54,2,880,32.9,2.3,2,3,33.46020761,Male,Yoga
26,55.7,1.99,172,142,110.08,130.72,3,68,2,1583,18.9,3.2,4,1,14.06530138,Female,Strength
43,112,1.71,166,146,106.24,126.16,3,58,1.62,815,31.2,2.6,3,1,38.30238364,Male,HIIT
48,75.2,1.72,193,169,123.52,146.68,3,59,1.54,1726,30.9,1.9,2,2,25.41914548,Male,Cardio
29,72,1.66,167,144,106.88,126.92,3,68,0.87,1248,10,3.6,4,3,26.12861083,Female,HIIT
57,63.6,1.87,170,158,108.8,129.2,3,65,1.56,840,23.7,3.6,4,1,18.18753753,Female,Strength
22,75.7,1.56,194,142,124.16,147.44,2,61,1.23,643,28.8,2.3,3,3,31.10618014,Female,Strength
20,59.1,1.62,191,127,122.24,145.16,2,54,1.02,995,26.2,3.4,3,1,22.51943301,Male,Strength
39,41.3,1.76,175,136,112,133,3,69,1.42,1096,24.3,3.2,3,2,13.33290289,Female,Yoga
41,40,1.77,176,148,112.64,133.76,3,65,1.03,1238,11.6,1.9,5,1,12.7677232,Male,Yoga
41,63.7,1.93,195,155,124.8,148.2,3,61,1.18,1064,21.2,3.4,4,1,17.10113023,Female,HIIT
31,100,1.75,190,169,121.6,144.4,3,67,1.46,1573,20.8,3.4,4,2,32.65306122,Female,HIIT
20,45,1.68,171,154,109.44,129.96,3,74,1.5,1692,10,2.4,4,1,15.94387755,Male,Yoga
26,47.1,1.61,189,138,120.96,143.64,2,52,1.26,1095,19.3,3.6,3,3,18.17059527,Male,Yoga
37,72.1,1.83,164,152,104.96,124.64,3,58,1.58,1091,34.4,3.3,4,2,21.52945743,Female,Cardio
59,57.5,1.81,175,169,112,133,3,58,1.47,1349,24.7,2.5,5,2,17.5513568,Male,Cardio
22,54.3,1.85,165,144,105.6,125.4,3,53,2,1740,26.6,3.7,4,2,15.86559533,Male,Cardio
25,63.9,1.67,178,144,113.92,135.28,3,61,1.56,868,24.8,2.4,3,2,22.91225931,Male,Strength
32,56.6,2,190,123,121.6,144.4,2,65,1.25,1309,14.7,3.5,4,3,14.15,Male,HIIT
37,68.9,1.65,171,132,109.44,129.96,3,50,1.19,767,23,2.68,3,3,25.30762167,Female,Strength
29,95.3,1.72,190,169,121.6,144.4,3,74,1.49,733,29.2,3.7,5,3,32.21335857,Female,HIIT
30,96.3,2,173,136,110.72,131.48,3,74,2,1095,20.4,1.5,5,2,24.075,Female,HIIT
28,84.4,1.74,182,142,116.48,138.32,3,52,1.45,1392,22,2.6,2,1,27.87686616,Male,Strength
33,60.5,1.54,195,126,124.8,148.2,2,56,1.27,1237,29.1,3.7,4,2,25.51020408,Male,Cardio
48,49.8,1.69,184,143,117.76,139.84,3,56,1.37,1159.8,17.7,2.7,3,3,17.43636427,Female,Strength
32,47.2,1.81,187,129,119.68,142.12,2,55,1.19,919,30.5,1.9,4,2,14.40737462,Male,HIIT
54,56.3,1.59,172,169,110.08,130.72,3,68,1.47,936,19.6,3.1,4,2,22.2696887,Female,Cardio
49,45,1.84,190,159,121.6,144.4,3,53,1.3,864,26.5,1.5,4,2,13.2915879,Male,HIIT
53,87.7,1.84,164,152,104.96,124.64,3,53,1.37,1066,24.7,2.6,5,2,25.90382798,Male,Cardio
54,46.1,1.85,187,162,119.68,142.12,3,63,1.35,772,25.7,3.6,4,1,13.4696859,Female,Strength
18,69.8,1.82,178,168,113.92,135.28,3,58,1.9,963,31.4,3.7,5,2,21.07233426,Female,HIIT
18,79.2,1.77,198,137,126.72,150.48,2,66,1.2,1429,12.9,3.7,3,2,25.28009193,Male,Yoga
29,60.6,1.76,188,148,120.32,142.88,3,50,1.38,676,30.2,2.5,3,2,19.56353306,Male,Strength
22,53.3,1.73,172,144,110.08,130.72,3,71,1.1,1235,22.8,2.6,3,1,17.80881419,Female,Strength
20,95.7,1.85,196,136,125.44,148.96,2,58,1.44,987,23.8,1.5,3,2,27.96201607,Male,HIIT
29,57.4,1.74,198,165,126.72,150.48,3,67,1.58,880,20.9,3.3,4,1,18.95891135,Female,Strength
47,87.3,1.9,194,164,124.16,147.44,3,74,1.87,1073,23.7,3.5,5,2,24.18282548,Male,HIIT
20,71.42,1.75,193,136,123.52,146.68,2,51,0.58,1218,28.4,3,4,1,23.32081633,Female,Yoga
18,79.2,1.66,176,154,112.64,133.76,3,72,1.58,1493,18.1,2.3,3,1,28.74147191,Male,Strength
18,73.8,1.75,187,149,119.68,142.12,3,74,1.64,1065,17.7,2.4,3,1,24.09795918,Male,HIIT
33,66.3,1.76,164,120,104.96,124.64,2,74,1.44,419,25.4,2.6,3,3,21.40366736,Female,Strength
27,72.8,1.82,162,136,103.68,123.12,3,57,1.23,780,11.4,3.5,4,3,21.97802198,Male,HIIT
38,50,1.75,186,135,119.04,141.36,2,59,2,695,23.4,1.6,4,1,16.32653061,Male,Strength
29,93.5,1.85,166,167,106.24,126.16,3,74,1.01,670,23.2,2.6,3,1,27.3192111,Female,Cardio
54,84,1.94,178,133,113.92,135.28,2,53,1.47,942,30.7,1.5,4,1,22.31905622,Male,Yoga
37,55.3,1.73,183,134,117.12,139.08,2,51,1.1,976,31.3,2.8,2,2,18.47706238,Female,Yoga
21,66.6,1.85,189,121,120.96,143.64,2,56,0.88,993,13.9,3.4,5,1,19.45945946,Male,HIIT
21,65.8,1.62,172,127,110.08,130.72,2,62,1.35,1307,26,3.4,3,1,25.0723975,Female,Cardio
26,59.8,1.6,180,151,115.2,136.8,3,58,1.2,611,16.4,2.5,3,3,23.359375,Female,HIIT
42,80.3,1.94,192,169,122.88,145.92,3,52,1.72,753,24.6,3.5,5,2,21.33595494,Female,Yoga
31,129.9,1.7,190,169,121.6,144.4,3,69,1.38,735,10,2.1,3,3,44.94809689,Female,Strength
50,40,1.75,162,169,103.68,123.12,3,55,2,1449,31.7,3.5,4,3,13.06122449,Female,Yoga
51,91.7,1.72,168,137,107.52,127.68,3,58,0.86,1529,10,1.7,3,1,30.99648459,Female,Cardio
18,64.8,1.82,169,156,108.16,128.44,3,69,1.93,1516,21.9,3.5,3,2,19.56285473,Male,Strength
54,60.1,1.63,174,159,111.36,132.24,3,72,0.52,893,18.4,3.6,4,1,22.62034702,Male,Cardio
38,59,1.68,169,134,108.16,128.44,3,67,1.36,1783,24.5,2.4,3,1,20.90419501,Female,Yoga
37,46.3,1.69,181,141,115.84,137.56,3,67,1.64,1445,20.7,2.5,4,2,16.21091698,Male,Strength
21,66.9,1.69,197,149,126.08,149.72,2,74,1.37,872,16.6,2.6,5,2,23.4235496,Male,Yoga
19,40,1.93,167,158,106.88,126.92,3,74,1.19,1265,24.7,2.6,4,3,10.73854332,Female,Yoga
32,79,1.6,165,149,105.6,125.4,3,62,1.59,1245,21.42,2.2,3,2,30.859375,Female,Yoga
36,50.1,1.85,199,140,127.36,151.24,2,68,0.91,1243,30.7,2.8,4,2,14.63842221,Female,Strength
23,71.3,1.77,171,134,109.44,129.96,3,50,1.34,1239,35,2.5,3,3,22.7584666,Male,Cardio
45,68.3,1.75,185,133,118.4,140.6,2,65,1.31,1595,29.1,2.5,4,2,22.30204082,Female,Strength
39,66.8,1.61,177,127,113.28,134.52,2,59,1.64,770,28,3.1,4,1,25.7706107,Female,Yoga
45,53.9,1.68,169,141,108.16,128.44,3,71,1.59,1031,19.2,2.1,3,3,19.09722222,Male,Yoga
33,97.1,1.86,166,127,106.24,126.16,3,72,1.39,1783,11,1.5,4,1,28.06682854,Female,HIIT
27,40,1.57,178,169,113.92,135.28,3,52,1.32,949,28.4,3.1,3,2,16.22783886,Female,Strength
37,62.1,1.85,196,151,125.44,148.96,3,64,1.28,943,26.7,3.3,4,1,18.14463112,Male,HIIT
28,60.7,1.73,198,124,126.72,150.48,1,70,1.34,1212,24.8,2,2,1,20.28133249,Male,Cardio
18,46.9,1.84,185,147,118.4,140.6,3,65,1.29,1040,21.8,1.7,3,1,13.85278828,Male,HIIT
18,90.8,1.66,182,134,116.48,138.32,2,56,1.77,990,10,1.8,4,2,32.95108143,Female,Yoga
24,44,1.79,193,164,123.52,146.68,3,62,1.84,622,26.3,3.5,4,2,13.73240536,Female,Strength
27,75.1,1.86,175,165,112,133,3,70,1.29,765,27,3.5,4,2,21.70771187,Female,Strength
23,74.2,1.71,199,150,127.36,151.24,2,57,1.05,1166,34.5,3.3,4,1,25.37532916,Female,Cardio
23,58.2,1.85,196,130,125.44,148.96,2,57,1.36,582,25.7,1.5,4,1,17.00511322,Female,HIIT
25,65.9,1.802,180,151,115.2,136.8,3,56,1.66,825,10,2.5,4,1,20.29438249,Female,Cardio
23,78.7,1.68,191,132,122.24,145.16,2,70,1.28,1319,21.1,3.5,2,2,27.88407029,Female,Strength
43,74.2,1.76,188,141,120.32,142.88,2,68,0.98,1426,21.2,3.1,2,3,23.95402893,Male,Cardio
18,56.1,2,180,120,115.2,136.8,2,57,1.04,1461,27.4,2,5,2,14.025,Male,HIIT
45,42.1,1.86,194,129,124.16,147.44,2,74,0.91,1176,22.1,3.6,5,1,12.16903688,Female,Strength
18,40,1.73,168,121,107.52,127.68,2,73,0.64,1153,29.9,3.1,2,3,13.36496375,Male,HIIT
18,40,1.85,175,144,112,133,3,51,2,1318,32.7,2,4,2,11.68736304,Male,Strength
20,60.78,1.81,171,168,109.44,129.96,3,74,0.75,793,24.4,2.1,3,2,18.55254724,Male,Strength
22,40,1.75,181,155,115.84,137.56,3,50,2,998,27,1.8,4,1,13.06122449,Female,Strength
28,107.7,1.99,188,129,120.32,142.88,2,55,2,1127,10,2,2,1,27.19628292,Female,Yoga
18,40,1.8,196,120,125.44,148.96,1,70,2,979,10,2.6,4,1,12.34567901,Female,Cardio
57,70,1.81,167,154,106.88,126.92,3,53,1.3,1149,26.6,1.5,3,3,21.36686914,Female,Yoga
55,63.2,1.59,161,168,103.04,122.36,3,69,1.49,1094,19,3.6,3,2,24.99901112,Female,Yoga
50,69.6,1.71,167,169,106.88,126.92,3,57,0.98,470,27.2,2.7,2,2,23.80219555,Male,Yoga
32,57,1.76,170,160,108.8,129.2,3,71,1.82,904,30.9,3.3,4,3,18.40134298,Male,Strength
20,75.8,1.87,160,163,102.4,121.6,3,63,2,988,23.5,2.7,4,3,21.6763419,Female,HIIT
18,54.7,1.6,167,156,106.88,126.92,3,57,1.63,1134,22.7,3.4,4,2,21.3671875,Male,Yoga
30,62.2,1.69,164,134,104.96,124.64,3,67,1.24,1783,30.3,3.2,3,2,21.77794895,Male,Cardio
18,97.5,2,169,159,108.16,128.44,3,68,1.17,782,24.8,1.8,2,1,24.375,Male,Strength
31,51,1.56,193,140,123.52,146.68,2,64,1.41,1347,28.6,3.5,2,2,20.9566075,Female,Cardio
18,50.6,1.89,189,130,120.96,143.64,2,66,1.476,1278,28.5,3.7,4,2,14.16533692,Male,HIIT
31,71,1.81,199,158,127.36,151.24,3,68,1.87,1228,29.6,2.7,2,2,21.67211013,Female,Strength
28,70,1.74,198,169,126.72,150.48,3,69,2,1468,28.4,2.8,4,2,23.1206236,Female,Cardio
23,57.8,1.87,172,142,110.08,130.72,3,54,1.46,1741,28.7,3.5,3,2,16.52892562,Male,Strength
48,67.3,1.61,173,139,110.72,131.48,3,59,0.86,659,20.5,2.7,3,2,25.96350449,Male,Cardio
52,73.5,1.78,181,162,115.84,137.56,3,67,2,1325,21.1,2.3,3,3,23.19782856,Female,Yoga
18,94.7,1.52,161,141,103.04,122.36,3,66,1.4,1446,16.7,2.6,3,2,40.98857341,Male,Yoga
47,40,1.89,177,139,113.28,134.52,3,69,1.3,902,26.7,3.3,3,3,11.1978948,Male,HIIT
54,63.5,1.51,192,147,122.88,145.92,3,70,1.23,526,28.3,2.2,3,3,27.84965572,Female,Yoga
22,60.1,1.71,198,161,126.72,150.48,3,70,1.04,533,10.3,3.4,5,1,20.55333265,Female,HIIT
43,70.4,1.62,178,140,113.92,135.28,3,66,1.58,763,29.1,3.4,3,1,26.82517909,Male,HIIT
31,40,1.77,181,127,115.84,137.56,2,51,0.76,1382,15.3,2.6,4,2,12.7677232,Male,Cardio
48,55.5,1.5,183,133,117.12,139.08,2,51,0.73,830,27.3,2.2,3,3,24.66666667,Male,Cardio
51,75.7,1.706,163,147,104.32,123.88,3,57,1.02,406,21.8,1.5,3,3,26.0098487,Male,Strength
23,95.6,1.5,196,152,125.44,148.96,3,56,0.5,639,25.2,3.2,2,1,42.48888889,Female,Yoga
43,102.5,1.79,190,138,121.6,144.4,2,69,1.54,844,19.7,3.7,4,2,31.99026248,Male,Cardio
50,56.6,1.96,196,169,125.44,148.96,3,74,2,1299,24.8,1.6,3,2,14.7334444,Male,Strength
30,40,1.67,176,120,112.64,133.76,2,55,1.39,1710,18.2,2.7,3,1,14.34257234,Male,Cardio
25,74.9,1.66,192,138,122.88,145.92,2,58,1.73,1766,28.7,2.3,5,1,27.18101321,Female,HIIT
19,82.8,1.79,192,127,122.88,145.92,2,74,1.18,1140,10,2.4,4,3,25.84189008,Female,Cardio
45,40,1.93,177,141,113.28,134.52,3,56,1.44,851.6,24,3.6,4,1,10.73854332,Female,Strength
41,73.3,1.71,196,158,125.44,148.96,3,56,1.36,1234,30.1,3.2,4,3,25.06754215,Female,Strength
53,55.3,1.98,177,169,113.28,134.52,3,51,0.83,1273,14.7,2.1,2,2,14.1057035,Male,Strength
35,95.9,1.69,175,129,112,133,2,58,1.22,1674,27.5,2.1,3,3,33.5772557,Male,Cardio
33,89.6,1.62,175,137,112,133,3,56,1.09,906,23.9,1.6,3,1,34.14113702,Male,Cardio
21,86.3,1.86,167,143,106.88,126.92,3,73,1.26,1783,27.1,3.1,3,2,24.94508036,Male,Cardio
27,71.3,1.78,168,162,107.52,127.68,3,71,1.93,1105,28.9,2.7,4,1,22.50347178,Female,HIIT
33,42.7,1.82,196,145,125.44,148.96,2,68,1.24,1436,26.3,3.7,4,1,12.8909552,Male,Yoga
33,103.3,1.72,180,162,115.2,136.8,3,58,0.66,1104,22.6,3.2,2,1,34.91752299,Female,Yoga
33,76.8,1.72,193,126,123.52,146.68,2,69,1.26,790,31.8,3.3,4,1,25.95997837,Male,HIIT
23,69.1,1.63,198,138,126.72,150.48,2,57,2,1549,21.4,3.3,2,1,26.0077534,Female,Yoga
30,75.6,1.82,196,138,125.44,148.96,2,74,1.31,925,32.4,3.3,3,3,22.82333052,Male,Cardio
18,42,1.74,197,120,126.08,149.72,1,57,2,1236,26.6,1.5,3,2,13.87237416,Female,Cardio
56,62.9,1.5,194,153,124.16,147.44,3,74,1.85,991,23.2,2.4,3,2,27.95555556,Male,Yoga
22,53.5,1.76,194,137,124.16,147.44,2,66,2,1395,13.1,2.3,5,2,17.27143595,Female,Strength
21,90.7,1.75,190,135,121.6,144.4,2,54,1.03,1155,28,2.3,3,2,29.61632653,Female,Cardio
21,74.7,1.59,161,169,103.04,122.36,3,74,1.08,1379,15.2,2.5,3,2,29.54788181,Male,Yoga
50,82.6,1.71,164,160,104.96,124.64,3,63,1.33,1011,22.4,3.6,5,2,28.24800793,Male,Yoga
27,40,1.76,183,125,117.12,139.08,2,60,1.04,1783,21.9,3.3,4,2,12.91322314,Male,Yoga
27,70.1,1.58,169,156,108.16,128.44,3,63,0.82,797,28.1,3.4,3,1,28.08043583,Female,Cardio
29,40.2,1.7,184,152,117.76,139.84,3,70,1.82,744,13.2,2.6,3,2,13.9100346,Female,Strength
19,76.4,1.79,189,132,120.96,143.64,2,57,1.41,1414,33.3,3.5,3,2,23.8444493,Female,HIIT
39,78.5,1.59,197,153,126.08,149.72,3,71,1.88,1009,26,3.7,5,1,31.05098691,Male,Yoga
18,72.1,1.79,194,169,124.16,147.44,3,71,1.89,716,16.7,3.2,2,2,22.50241878,Female,Strength
26,61,1.97,172,140,110.08,130.72,3,74,1.99,1298,21.8,2.6,3,2,15.71800356,Male,Cardio
20,82.6,1.6,174,149,111.36,132.24,3,63,2,775,22.9,3.3,2,2,32.265625,Female,HIIT
34,91.2,1.5,193,165,123.52,146.68,3,61,1.13,905,24,3.4,4,1,40.53333333,Male,Strength
18,64.2,1.61,167,147,106.88,126.92,3,68,1.17,1783,25.9,2.1,3,2,24.76756298,Male,Cardio
23,46.7,1.65,164,159,104.96,124.64,3,68,1.81,1563,15.8,2.5,4,2,17.1533517,Male,Yoga
28,74.2,1.5,191,129,122.24,145.16,2,72,1.77,848,17.3,1.5,3,2,32.97777778,Female,Strength
18,64,1.51,176,129,112.64,133.76,2,74,1.18,992,26.7,3.4,5,3,28.06894434,Female,Strength
32,52.8,1.61,169,169,108.16,128.44,3,70,0.88,1375,24.2,2.7,5,1,20.36958451,Male,Strength
26,78.14,1.77,164,147,104.96,124.64,3,56,1.2,1091,30.8,1.6,3,3,24.94174726,Male,Yoga
47,40,1.73,170,160,108.8,129.2,3,66,1.27,1249,22.8,3.6,2,1,13.36496375,Male,Cardio
26,85.8,1.87,188,162,120.32,142.88,3,58,1.33,938,24.3,2.24,4,2,24.53601762,Female,HIIT
19,40,1.59,187,152,119.68,142.12,3,73,1.52,948,27.1,1.6,3,2,15.82215893,Male,Yoga
26,86.6,1.674,192,120,122.88,145.92,1,59,1.75,1102,19,1.8,3,1,30.90345134,Female,HIIT
39,70.7,1.58,189,163,120.96,143.64,3,66,1.69,1146,21.9,3.2,3,1,28.32078193,Male,Yoga
37,40,1.59,190,161,121.6,144.4,3,70,1.16,670,24.5,3.3,4,2,15.82215893,Female,Strength
19,66.7,1.73,172,160,110.08,130.72,3,71,1.18,589,24.9,1.8,3,1,22.28607705,Female,HIIT
39,72.1,1.52,172,151,110.08,130.72,3,58,1.09,1093,28.2,2.7,2,1,31.20671745,Female,HIIT
53,80.5,1.64,173,120,110.72,131.48,2,60,1.26,735,26.3,2.72,4,2,29.93010113,Male,Yoga
41,77,1.5,190,146,121.6,144.4,3,56,1.3,1067,27.5,3.3,4,2,34.22222222,Male,Strength
23,117.8,1.88,168,167,107.52,127.68,3,55,1.35,1259,32.3,1.6,3,2,33.32956089,Male,Strength
31,76.2,1.64,169,137,108.16,128.44,3,72,0.74,1207,23.3,2.7,3,3,28.33135039,Female,Strength
50,57.3,1.72,197,133,126.08,149.72,2,56,2,950,11.1,3.2,2,3,19.36857761,Female,Yoga
22,103.1,1.72,168,166,107.52,127.68,3,59,1.07,978,23.1,1.9,2,2,34.84991888,Female,HIIT
